Unnamed: 0,Job_Role,Android,Angular,AWS,Azure,Blockchain,Bootstrap,C#,C++,Confluence,CSS,CSS3,Data Science,DigitalOcean,Django,Docker,Ethereum,Git,Google Cloud Platform,GraphQL,Heroku,HTML,HTML5,iOS,Java,JavaScript,Jira,Kubernetes,LESS,Machine Learning,MERN Stack,MongoDB,Node.js,PHP,Python,PyTorch,React,RESTful API,Ruby,R,Sass,Solidity,Spring Framework,SQL,Swift,TensorFlow,TypeScript,Unity,Vue.js
18,Project Manager,3,3,3,3,3,0,2,0,2,2,2,3,2,0,3,3,3,3,2,2,3,3,2,2,3,2,0,2,2,2,2,2,2,2,2,3,3,2,2,2,0,3,3,3,3,3,2,3
19,Frontend Development Lead,2,3,3,3,0,2,0,2,3,3,3,0,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,0,3,2,2,3,2,3,0,3,3,3,3,2,2,2,2,2,3,3,3,3
20,Software Engineer,0,2,0,3,2,0,2,2,3,3,2,0,3,3,3,2,3,2,3,3,3,3,3,3,3,3,2,2,2,3,2,3,2,3,2,3,3,3,2,2,3,0,3,2,2,3,2,2
21,Backend Development Manager,2,2,3,2,2,2,3,0,3,2,2,3,3,3,3,2,3,0,2,2,2,0,2,3,2,2,3,2,3,3,3,3,2,3,3,3,3,3,0,2,2,3,3,0,2,3,2,3
22,DevOps Lead,3,3,3,3,3,3,0,2,2,2,2,2,2,3,3,0,3,2,0,3,2,2,2,2,2,3,3,0,2,3,2,0,2,3,3,3,3,2,2,2,3,3,2,3,3,3,2,2
23,Release Manager,3,2,3,2,0,2,2,0,2,3,2,2,0,3,3,2,3,3,3,3,2,2,3,2,3,2,3,2,3,0,2,3,0,3,3,3,3,3,3,2,2,3,3,2,2,3,2,3
24,Cloud Solutions Architect,2,0,3,3,3,2,3,2,2,3,2,3,3,3,0,3,3,2,3,0,3,2,3,3,0,3,3,2,2,3,3,3,2,3,2,2,3,3,3,2,2,3,2,3,0,3,3,3
25,Product Owner,2,2,3,3,3,2,2,3,3,3,0,2,3,2,2,2,3,0,3,2,2,2,3,3,3,3,0,2,3,0,3,3,2,2,2,3,2,0,2,3,2,3,3,3,2,3,2,3
26,UX Architect,2,3,3,3,2,2,3,2,2,0,3,3,3,2,0,0,3,3,2,3,3,3,3,3,2,3,2,3,0,2,3,2,2,3,3,2,3,2,3,0,2,3,3,3,2,3,3,2
27,Backend Development Lead,2,3,2,3,3,2,2,3,3,0,2,2,2,3,3,3,3,2,0,2,3,0,0,3,2,3,2,3,3,2,3,3,3,3,2,3,2,2,2,3,2,3,3,3,2,0,2,3
28,System Administrator,2,3,2,2,0,0,2,3,3,2,3,2,3,2,2,3,3,3,3,3,2,2,2,2,3,2,2,2,3,0,3,2,3,0,0,2,2,2,3,3,3,2,2,3,3,2,2,2
29,Software Developer,3,2,0,3,0,0,3,3,2,3,2,3,3,2,0,3,3,3,0,2,2,3,2,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,3,3,2,2,3,3,3,2,3,2
30,Cybersecurity Analyst,3,0,2,0,3,0,2,3,2,2,2,3,3,3,3,3,3,3,2,3,0,0,3,2,3,3,3,3,3,2,3,3,2,2,3,2,2,3,2,2,3,2,2,3,2,2,2,2
31,QA Automation Engineer,0,0,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,2,2,2,2,2,3,3,3,2,0,2,2,2,2,0,2,3,3,3,2,2,3,2,3,2,0,2,3,3,3,3
32,Database Administrator,3,3,0,3,2,2,3,2,3,3,2,2,3,2,3,3,3,2,0,3,3,2,3,2,2,3,0,0,3,3,3,2,3,3,3,2,3,3,3,2,0,3,3,3,3,2,3,2
33,Cybersecurity Engineer,2,2,3,2,0,0,3,2,0,2,3,2,2,3,3,3,3,2,2,2,2,3,2,3,3,2,2,2,2,3,2,0,2,2,3,3,3,3,2,2,2,3,2,3,3,2,3,0
34,Network Engineer,0,3,3,3,3,2,2,0,3,2,2,0,0,2,3,3,3,3,2,2,2,3,2,3,3,3,3,2,2,3,2,2,3,3,0,3,3,2,3,3,3,3,3,3,3,2,2,3
35,Project Manager,3,3,3,2,2,0,3,0,3,2,3,3,2,0,2,2,3,3,3,3,3,3,3,2,3,2,0,3,3,3,3,3,2,2,2,3,3,2,2,3,0,3,3,3,2,2,3,2
36,Frontend Developer,2,3,3,0,0,2,3,3,2,3,3,0,0,2,2,0,3,3,2,2,3,2,2,2,3,3,3,2,2,3,3,2,2,3,2,3,2,3,3,3,3,3,3,2,2,3,3,2
37,UX Designer,3,2,3,2,2,2,3,3,3,0,3,3,3,2,3,3,3,3,3,0,3,3,2,3,2,3,0,2,2,3,0,2,3,2,2,3,2,3,2,0,2,2,2,3,2,3,2,3
38,Product Development Manager,2,0,3,3,3,0,3,3,2,2,2,3,2,0,3,3,3,2,0,3,3,2,3,3,2,3,0,3,3,2,2,2,2,3,3,3,2,3,3,3,3,2,3,2,2,2,3,2
39,IT Support Specialist,3,3,2,3,0,3,2,3,2,0,2,3,3,2,3,3,3,3,0,2,3,2,3,0,2,3,2,3,3,0,2,2,2,2,3,3,3,3,3,2,2,3,3,2,2,3,2,3
40,Software Engineer,0,3,0,2,3,0,2,2,2,3,2,0,2,2,2,3,3,2,2,2,3,2,2,3,3,2,3,2,2,2,3,3,3,3,3,3,3,2,3,2,3,0,3,2,3,2,2,3
41,Quality Assurance Engineer,3,2,2,0,0,3,3,2,2,2,0,3,2,2,0,2,3,2,3,3,2,3,2,3,2,3,2,2,3,2,3,0,3,2,3,3,2,3,2,2,3,2,3,3,2,2,3,2
42,Embedded Systems Engineer,2,3,2,2,3,2,3,2,3,2,2,3,3,0,3,3,3,3,3,0,3,2,0,2,0,2,3,2,2,2,2,3,3,3,2,0,2,3,2,3,3,3,2,3,3,3,3,3
43,Backend Architect,0,3,0,2,3,3,2,2,3,0,3,3,2,3,2,2,3,2,2,3,3,2,2,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,3,2,2,3,3,3,0,3,2,0
44,Backend Developer,3,2,3,2,3,2,3,0,3,0,3,2,0,3,2,2,3,0,2,2,3,2,3,3,2,3,3,2,2,2,2,3,2,3,3,3,2,0,2,2,2,3,3,2,3,3,3,3
45,Django Developer,3,3,2,3,2,2,3,0,3,3,3,0,2,3,3,2,3,3,3,2,3,0,2,2,0,0,2,3,2,2,3,3,3,3,2,2,3,3,2,3,3,3,3,3,2,2,3,2
46,Computer Vision Engineer,0,3,3,0,2,0,3,3,2,3,3,3,3,2,2,3,3,3,3,2,2,2,0,2,3,2,0,2,2,3,2,3,3,3,2,2,3,2,2,3,2,3,3,2,3,3,2,3
47,Embedded Systems Engineer,3,2,2,3,3,3,3,3,2,2,3,3,3,0,2,2,3,3,3,0,3,2,0,3,0,3,3,3,3,3,2,2,3,2,2,0,2,3,2,2,3,3,2,3,2,2,3,2
48,Software Engineer,0,3,0,3,3,0,2,3,2,3,2,0,3,3,2,2,3,2,2,3,3,2,2,3,3,2,2,2,3,3,2,3,2,3,2,3,3,3,2,3,2,0,3,3,3,3,2,3
49,Frontend Development Lead,3,3,2,2,0,2,0,3,2,3,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,3,2,3,3,2,3,0,3,3,2,2,3,3,2,3,3,2,3,2,3
50,Data Science Manager,0,2,2,3,0,3,2,0,2,2,3,2,2,3,3,3,3,3,3,2,2,2,0,3,0,3,2,3,2,2,2,3,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2
51,Cybersecurity Lead,3,2,3,0,2,0,0,3,3,2,3,3,3,2,3,0,3,3,2,3,0,2,3,2,2,3,2,2,3,2,3,3,2,3,3,2,3,3,3,2,2,3,2,2,2,2,3,3
52,UX Architect,2,2,3,3,2,3,2,3,3,0,2,2,2,2,0,0,3,2,3,3,3,3,2,3,2,2,3,3,0,3,2,3,3,2,2,2,2,3,2,0,3,3,3,3,3,3,3,2
53,Frontend Development Lead,2,3,3,2,0,2,0,3,3,3,3,0,2,2,3,2,3,3,3,2,3,2,3,3,3,2,2,0,2,3,2,3,2,3,0,3,2,3,3,3,2,2,3,2,2,3,2,2
54,UI/UX Designer,2,2,3,2,0,3,2,3,3,3,2,2,3,0,3,3,0,3,2,2,3,3,3,0,3,3,2,2,0,3,3,2,3,3,3,2,2,3,2,2,2,3,2,2,3,3,3,2
55,Data Analyst,3,3,0,2,2,3,3,2,3,0,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,0,3,2,2,0,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,2,0
56,UX Lead,2,0,2,3,0,3,3,3,0,2,3,2,2,3,3,2,3,3,3,3,2,3,0,2,2,3,2,3,0,3,2,2,2,3,2,2,2,3,3,2,3,3,2,2,2,2,3,2
57,UX Designer,3,3,3,3,2,2,2,3,3,0,3,3,3,2,3,2,3,3,2,0,2,3,2,3,2,2,0,3,3,3,0,2,2,2,3,2,3,2,2,0,3,2,2,2,3,3,3,2
58,UX Architect,3,3,2,2,2,3,3,3,2,0,3,2,2,2,0,0,3,2,2,2,3,2,3,3,3,3,3,2,0,3,2,3,3,3,3,2,3,2,3,0,3,3,2,2,3,3,3,3
59,DevOps Engineer,2,0,3,0,2,2,3,2,3,2,0,3,0,2,3,0,3,3,3,2,3,3,3,3,2,3,3,2,3,2,2,2,3,3,3,3,3,2,3,3,2,2,2,2,3,3,3,3
60,Backend Engineer,2,3,2,2,2,2,2,0,2,2,0,2,3,3,2,2,3,3,0,2,2,3,3,3,0,3,2,2,2,2,2,3,2,3,3,3,2,3,2,3,2,3,2,2,0,3,3,2
61,Business Analyst,3,2,2,2,2,0,3,0,3,3,3,2,3,3,2,0,3,2,2,2,3,2,3,2,3,3,2,3,3,3,3,2,3,2,2,3,3,0,3,0,2,3,2,3,3,3,2,3
62,Business Analyst,3,2,2,3,2,0,2,0,2,2,3,3,2,2,3,0,3,2,2,2,2,3,3,3,3,3,2,2,2,2,2,3,3,3,3,2,3,0,3,0,3,3,2,3,2,2,2,2
63,Chief Technology Officer (CTO),3,0,0,0,2,3,2,2,3,3,2,2,3,3,2,2,3,0,3,3,2,3,2,2,3,2,2,2,0,3,3,2,2,3,3,3,2,2,3,3,2,3,2,2,2,2,3,3
64,Cybersecurity Manager,0,2,3,3,3,3,2,0,2,2,2,2,2,2,3,3,3,3,2,3,0,3,3,2,3,2,2,2,2,2,2,3,3,2,3,3,2,2,0,0,3,3,2,3,3,2,3,2
65,Frontend Development Lead,2,3,2,3,0,3,0,3,2,3,3,0,3,3,2,2,3,3,3,3,3,2,2,2,3,2,3,0,2,2,2,2,3,2,0,3,3,2,3,3,3,3,2,3,2,3,3,3
66,QA Lead,2,3,2,3,3,2,2,0,3,2,2,2,2,2,2,0,3,2,3,3,3,3,2,2,2,3,2,2,0,3,3,3,2,3,3,3,0,2,3,2,3,2,3,0,3,3,2,2
67,Big Data Engineer,0,0,2,2,3,2,3,2,3,3,2,2,3,2,3,2,3,3,3,3,2,3,3,0,3,3,3,2,3,3,0,3,2,2,3,2,0,3,2,2,2,2,3,2,2,3,3,2
68,Data Engineer,2,0,2,3,3,0,3,2,3,0,2,3,3,2,2,3,3,0,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,0,3,3,2,3,3,3,3
69,Data Scientist,2,3,2,2,0,2,3,3,3,3,2,3,0,3,2,2,2,0,3,2,3,3,0,3,3,2,2,3,2,3,2,2,3,3,3,2,3,3,3,2,3,3,3,0,3,3,2,3
70,Frontend Development Manager,2,3,2,0,2,3,0,2,3,3,2,3,2,3,2,2,3,2,3,3,3,3,2,2,3,2,0,2,2,3,3,3,3,0,3,3,2,3,0,2,3,2,2,2,3,3,3,3
71,Game Developer,0,2,3,0,3,3,3,2,0,2,2,3,2,3,3,2,3,2,3,3,2,2,2,2,3,3,3,0,3,2,3,3,2,3,3,2,3,2,3,2,2,3,3,2,3,3,3,0
72,Frontend Developer,3,3,2,0,0,3,3,3,2,3,3,0,0,3,2,0,3,3,2,2,3,3,3,3,3,3,2,2,2,3,2,3,3,2,3,3,2,2,2,2,2,2,3,3,3,3,2,3
73,Data Scientist,3,3,2,3,0,3,3,3,3,3,3,3,0,3,3,2,3,0,2,2,3,2,0,3,2,3,2,2,3,3,3,3,2,3,3,3,3,2,3,2,3,3,3,0,2,2,3,3
74,Blockchain Developer,2,3,2,3,3,3,3,2,3,2,2,3,2,2,3,3,3,3,3,0,3,2,3,3,2,2,3,3,2,3,3,2,0,2,0,0,2,2,2,3,3,0,3,3,3,2,3,3
75,Software Development Manager,0,2,2,2,2,3,3,3,3,2,2,3,2,3,3,3,3,2,2,3,2,0,2,3,2,0,2,3,3,0,2,2,3,3,3,3,2,2,2,3,2,3,2,3,2,3,2,0
76,MERN Developer,3,2,3,2,3,2,2,2,2,0,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,3,3,2,0,3,3,3,2,3,3,2,3,3,2,2,2,0,2,2,0,2,0
77,Engineering Director,3,2,3,2,0,2,2,0,2,3,3,2,2,3,0,3,3,3,3,0,2,2,3,2,0,2,2,2,3,3,2,3,3,2,2,2,2,3,2,3,3,2,2,2,3,3,3,2
78,Cloud Engineer,3,2,3,3,0,3,2,3,3,3,0,2,2,3,3,0,3,2,2,2,2,3,2,2,3,2,3,2,3,2,3,3,0,2,2,2,0,3,2,3,3,3,3,3,2,3,2,2
79,Data Modeler,3,3,3,3,3,2,2,3,2,2,0,2,3,3,3,2,3,3,2,0,3,0,2,3,2,3,2,2,3,0,2,2,3,0,2,2,3,3,3,3,2,2,3,3,3,2,3,3
80,Software Engineer,0,2,0,3,3,0,2,3,2,3,3,0,2,2,2,2,3,3,2,2,3,2,3,3,3,2,2,3,3,3,3,3,2,3,2,3,2,2,2,3,2,0,3,2,2,3,3,2
81,UX Architect,2,3,3,3,3,2,2,3,3,0,2,3,2,3,0,0,3,3,2,3,3,3,3,3,2,2,2,2,0,2,3,3,3,3,2,2,3,3,3,0,3,2,3,3,3,3,2,2
82,Network Engineer,0,3,2,3,2,2,2,0,2,3,3,0,0,3,2,3,3,3,2,2,3,3,2,2,2,2,2,2,3,2,3,2,3,2,0,2,3,3,2,2,2,2,2,3,2,2,2,3
83,ETL Developer,2,3,2,0,3,2,2,2,3,3,3,2,3,3,2,3,3,3,3,0,0,3,3,2,2,0,3,3,2,2,3,3,3,3,3,0,2,2,3,2,3,2,3,2,2,3,2,2
84,Product Owner,2,3,3,2,3,3,3,3,3,3,0,2,2,3,3,2,3,0,2,3,3,2,3,2,2,2,0,3,3,0,3,3,3,3,2,3,3,0,2,3,3,2,3,2,2,2,2,2
85,Quality Assurance Engineer,3,2,3,0,0,3,2,2,3,3,0,2,2,2,0,3,3,3,3,3,3,3,3,2,3,3,2,2,3,3,3,0,3,3,2,2,2,3,2,3,3,2,2,3,3,3,2,3
86,AI Product Manager,0,3,3,3,3,0,2,3,2,2,3,0,2,2,3,2,3,0,2,3,2,3,2,2,3,2,3,3,2,2,2,2,2,0,3,3,2,2,2,2,3,3,3,3,3,2,2,3
87,Backend Development Manager,2,3,2,2,3,2,2,0,3,2,2,3,2,3,3,2,3,0,2,3,2,0,3,3,3,3,2,3,2,2,2,2,3,3,2,3,2,2,0,3,3,3,3,0,3,2,3,3
88,AI Product Manager,0,2,2,3,3,0,2,2,2,3,3,0,2,2,2,2,3,0,3,3,2,3,3,2,2,3,3,2,3,2,3,2,3,0,2,3,2,2,2,3,2,2,3,3,2,2,2,3
89,Data Warehouse Architect,0,3,2,2,2,2,2,2,2,2,2,3,2,0,3,3,3,2,2,3,0,3,3,3,3,0,2,2,0,2,3,3,2,3,3,3,2,2,3,2,2,3,3,2,3,2,3,2
90,Data Modeler,3,2,2,2,3,3,3,3,2,3,0,3,2,3,2,3,3,3,2,0,3,0,2,2,3,3,2,3,2,0,2,2,2,0,3,2,3,2,3,2,3,2,3,3,3,2,2,2
91,Backend Development Manager,3,2,3,3,2,3,3,0,2,3,2,2,3,3,2,3,3,0,3,3,3,0,3,3,3,2,3,3,3,3,2,3,2,3,2,3,3,3,0,2,3,2,3,0,3,3,3,2
92,Network Engineer,0,2,3,3,3,3,2,0,2,3,2,0,0,3,2,2,3,3,2,3,3,3,3,3,2,3,2,3,2,2,2,2,2,2,0,3,2,3,3,3,2,2,3,2,2,2,3,2
93,Quality Assurance Engineer,2,3,2,0,0,2,3,2,3,2,0,2,2,2,0,3,3,2,3,2,2,2,2,3,3,3,2,3,2,2,2,0,3,3,3,2,2,2,2,2,2,3,3,3,2,3,3,3
94,Frontend Engineer,3,3,2,3,3,3,2,3,0,3,2,3,2,2,3,2,3,3,0,3,3,2,3,3,3,2,3,3,2,0,0,0,3,3,2,3,2,3,2,3,2,3,2,3,3,3,3,3
95,Cloud Security Engineer,3,2,3,2,2,3,3,3,3,3,2,3,0,2,0,2,3,2,3,2,3,3,3,2,2,2,2,3,2,2,0,3,3,2,2,2,0,3,3,2,0,2,3,2,3,2,2,3
96,Django Developer,2,3,3,2,2,2,3,0,2,3,3,0,2,3,3,3,3,3,2,3,3,0,2,3,0,0,2,3,2,2,2,2,3,3,2,3,2,2,2,2,3,2,3,3,2,2,2,2
97,Big Data Engineer,0,0,2,3,2,3,3,3,3,3,2,3,2,2,2,3,3,2,3,3,2,3,3,0,2,3,3,2,2,2,0,3,2,3,2,3,0,2,2,2,2,3,2,2,3,3,3,3
98,Embedded Systems Engineer,2,2,2,3,2,3,2,3,2,2,2,3,3,0,3,3,3,2,2,0,2,2,0,2,0,3,3,3,3,2,2,3,2,3,2,0,3,2,3,3,2,3,3,2,2,2,2,3
99,Product Development Manager,2,0,2,3,2,0,2,2,2,3,2,3,3,0,2,3,3,2,0,3,3,2,3,3,3,3,0,2,2,3,2,3,2,2,3,2,2,3,2,2,2,3,2,3,3,3,3,2
100,IT Support Specialist,2,3,2,3,0,3,2,3,3,0,3,2,2,3,3,3,3,2,0,3,3,3,3,0,2,3,3,2,3,0,3,2,2,2,3,3,2,3,3,3,2,3,2,3,3,2,3,3
101,Engineering Director,2,2,2,2,0,3,3,0,2,3,2,3,3,3,0,3,3,2,2,0,2,3,3,3,0,3,3,2,3,2,2,3,3,3,3,2,2,3,3,3,3,3,2,2,2,2,3,2
102,Network Engineer,0,3,2,3,2,2,3,0,3,2,3,0,0,2,3,2,3,3,3,3,3,2,3,2,2,3,3,3,3,2,3,2,3,2,0,3,2,2,2,3,3,3,2,2,2,3,2,3
103,Product Manager,2,2,2,3,3,2,3,0,3,3,0,3,2,2,3,3,3,2,3,2,2,3,3,3,2,3,3,3,3,2,0,2,2,3,2,3,3,3,2,2,3,2,0,3,0,3,3,3
104,Web Developer,3,3,0,3,3,3,0,3,3,3,2,0,2,2,0,2,3,3,2,2,3,3,3,3,3,2,3,3,2,3,3,3,3,3,2,3,3,3,2,2,3,3,2,2,3,0,2,2
105,Data Engineer,2,0,3,2,3,0,2,2,3,0,2,2,2,3,2,2,3,0,3,3,3,2,3,3,2,3,3,3,3,3,2,3,2,3,2,2,3,2,3,2,0,2,3,3,3,2,3,3
106,iOS Developer,0,3,2,3,3,0,3,2,2,3,3,3,2,2,3,3,3,2,3,2,3,2,3,3,2,3,2,2,3,3,2,0,2,3,2,3,0,2,2,3,2,2,3,3,3,3,0,3
107,System Administrator,3,2,3,2,0,0,2,2,2,3,2,3,3,2,3,3,3,2,2,2,3,3,2,3,2,2,3,2,3,0,2,2,2,0,0,2,2,3,3,3,3,3,3,2,2,3,3,2
108,UI Development Lead,0,3,2,3,0,2,2,3,2,3,2,2,3,2,3,3,3,3,3,2,3,0,3,3,3,3,3,0,0,2,3,2,3,3,2,3,2,3,3,3,3,3,2,2,2,3,3,3
109,Product Manager,2,2,2,3,3,2,2,0,3,3,0,2,3,3,3,2,3,3,3,3,3,2,2,2,3,2,3,3,2,3,0,2,2,2,2,2,3,3,2,3,2,3,0,3,0,3,3,3
110,Machine Learning Engineer,3,3,2,0,2,0,2,3,3,2,3,3,3,2,2,2,3,0,3,3,3,3,2,2,0,3,2,3,2,3,3,3,3,3,3,2,2,2,3,3,2,0,2,2,3,3,3,3
111,Cybersecurity Lead,3,3,2,0,2,0,0,2,2,2,2,2,3,2,3,0,3,2,2,2,0,2,3,3,2,3,2,2,2,2,3,3,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,3
112,Backend Engineer,2,2,3,3,3,2,3,0,3,2,0,2,3,3,2,2,3,3,0,2,3,3,2,3,0,2,2,2,3,2,3,2,3,3,2,2,2,2,3,3,3,3,2,3,0,3,2,2
113,Android Developer,3,3,3,2,3,3,2,0,3,3,3,2,0,3,3,3,3,2,0,3,2,3,2,3,2,3,3,3,3,3,2,2,3,3,2,3,2,0,3,2,2,3,0,3,2,3,2,3
114,Technical Support Engineer,3,2,3,3,3,3,0,2,3,0,3,2,2,3,0,3,3,2,3,2,3,3,2,2,3,2,0,0,3,2,3,3,2,3,3,2,2,2,2,2,3,3,2,3,3,2,2,2
115,Backend Engineer,2,2,3,2,2,2,2,0,2,3,0,2,3,3,3,3,3,2,0,2,3,3,2,3,0,2,3,2,3,3,3,2,2,3,2,2,3,3,2,3,3,2,3,2,0,3,3,2
116,Cloud Solutions Architect,3,0,3,3,3,3,2,3,3,2,3,2,3,2,0,2,3,3,2,0,2,3,2,3,0,2,2,3,2,2,2,2,2,3,3,3,3,2,2,2,3,2,2,2,0,3,2,3
117,Full Stack Developer,3,3,2,3,3,3,2,3,0,3,2,0,3,3,3,2,3,2,0,3,3,2,2,0,3,3,3,2,3,3,2,3,3,3,0,3,3,2,2,3,3,3,2,3,2,2,2,2
118,Backend Development Manager,3,3,2,2,2,3,2,0,3,2,2,3,2,3,3,3,3,0,2,2,2,0,3,3,2,2,2,2,3,2,3,2,3,3,3,3,2,3,0,3,3,2,3,0,3,2,3,2
119,Embedded Systems Engineer,3,2,2,2,3,3,2,2,3,2,2,3,3,0,3,2,3,3,3,0,3,2,0,3,0,3,3,3,3,2,2,3,2,2,3,0,3,3,3,2,3,3,2,3,3,3,2,2
120,Data Warehouse Architect,0,2,2,3,2,3,2,3,3,2,3,2,3,0,2,3,3,3,2,3,0,3,2,3,3,0,3,3,0,3,3,3,2,2,2,3,3,3,3,2,2,3,3,2,3,3,2,3
121,UI Development Lead,0,3,3,2,0,3,3,3,3,3,2,3,2,3,3,3,3,2,3,2,3,0,3,2,3,3,2,0,0,2,2,3,3,3,3,3,2,2,2,2,3,3,2,3,3,3,3,3
122,Cloud Security Engineer,2,2,2,3,2,2,2,3,2,3,3,3,0,2,0,3,3,3,3,3,2,2,3,2,2,3,2,2,2,3,0,2,3,2,3,2,0,2,2,3,0,3,3,2,3,3,3,2
123,Technical Writer,2,3,0,0,2,2,3,3,2,3,2,3,2,3,0,2,3,3,2,3,2,0,3,3,2,2,2,3,0,3,2,2,3,3,2,2,3,2,2,2,3,2,2,3,2,3,2,2
124,Data Analyst,2,3,0,3,2,3,3,2,2,0,2,2,3,3,2,2,3,3,3,3,3,3,2,2,2,3,0,3,2,2,0,2,2,3,2,3,2,3,3,3,2,2,3,3,3,3,3,0
125,Data Scientist,3,3,2,3,0,2,3,3,3,2,3,2,0,3,3,3,2,0,3,2,3,2,0,2,3,2,2,2,2,3,3,3,2,3,2,2,2,2,3,2,3,3,3,0,2,2,2,3
126,UI/UX Designer,2,2,2,2,0,2,3,3,2,3,3,2,3,0,3,2,0,2,2,2,3,3,3,0,3,3,3,3,0,3,2,2,2,3,3,3,3,2,2,2,2,2,3,3,3,2,3,3
